"","03_months","06_months","12_months","16_months","23_months"
"Rdh16 positive cells-5-gWAT",0.00186449105620599,0.000831129890051033,0.000392515242332351,0.000740580720124589,0.000100975530010007
"Enteric glia-2-Ileum",0.000761331161703205,0.000379686831797199,0.000270049723876164,0.000335883118943766,0.00017862591516421
"Principal cells-14-Kidney",0.000163516522292687,0.000103171363250304,9.00387232407119e-05,7.97604758456584e-05,3.57740404304979e-05
"Tenocytes-1-Muscle",0.0046107584553378,0.00284218551676769,0.00218576449537853,0.00230428258957686,0.000963166624023666
"Adipocytes-4-Colon",0.000928619650377988,0.000298872302810126,3.1516866432955e-05,0.00010610169293697,9.37725842305723e-05
"Adipocytes-6-Ileum",0.000164711248624472,5.35319133532472e-05,5.69164921227575e-06,2.33770418292585e-05,1.50481644383402e-05
"Adipocytes-2-Ileum",0.00126305367722036,0.000272984194779637,4.56232203659843e-05,0.000199007430408477,0.000118039478107648
"Adipocytes-5-Ileum",0.000227602905208513,6.17197988533816e-05,1.59892830279147e-05,4.9513854790442e-05,2.19156057805093e-05
"Lymphoid cells_T cells-19-Colon",0.000541495069166919,0.000120092722892968,7.17640892546208e-05,8.69757636453322e-05,2.47588325531998e-05
"Adipocytes-5-Heart",0.00108358259268776,8.94964712534914e-05,4.6865876878474e-05,8.21850555036907e-05,1.27570529268741e-05
"Brown adipocytes-2-BAT",0.175893688740742,0.03259437579194,0.00979049680576075,0.0173260777849743,0.00875586893809107
"Adipocytes-0-Ileum",0.00142372267597978,0.000187233789058935,5.69164921227575e-06,4.1740586622424e-05,5.68646368792504e-05
"Myeloid cells-8-Muscle",0.00155178050852943,0.000462129647498715,0.000243099052657156,0.000169833040555394,0.000212035451461367
"Erythroblasts-2-Muscle",0.00118871428421009,0.000261776395825846,0.000256741310793424,0.000133440085401655,3.73819904412146e-05
"Adipocytes-7-Colon",6.47631653728123e-05,1.20299379605276e-05,8.04810696897028e-06,0,0
"Erythroblasts-4-Muscle",0.000917436226198448,0.000173622306964463,0.000250808882701365,0.000253536162263144,3.01677325932183e-05
"Adipocytes-3-Ileum",0.00054519190555497,0.00016072143767256,5.40526826769156e-05,0.000188439988117767,5.63932175576554e-05
"Lymphoid cells-9-Muscle",0.00150219811521121,0.000232660848974764,0.000250371277471652,0.000444656978834427,6.47101880084952e-05
"Adipocytes-5-iWAT",0.0707323328529966,0.0112363434475448,0.00718186823067202,0.0188307263408912,0.0051106078757204
"Type II myonuclei-7-Muscle",0.0829227607997721,0.00624116882334741,0.00447481866290408,0.0224482868767964,0.00119982255706707
"Lymphoid cells_T cells-0-Lung",0.0231057421565445,0.0236347151857558,0.0150030780982674,0.0113886014823896,0.00593442143319933
"Neural cells-1-gWAT",0.000258848513983939,0.000262361688879669,0.000143138603349157,0.000104740793304254,2.11440681572162e-05
"Lymphoid cells_T cells-1-Ileum",0.0168071529877032,0.0166896727639614,0.0104298193423541,0.00779133932738846,0.00328121571170898
"Lymphoid cells_T cells-6-Heart",0.00130718161979404,0.00119511522274434,0.000858545085173811,0.000570682182394974,0.00049368247357631
"Type B intercalated cells-4-Kidney",0.00187150557852498,0.00163002263323654,0.000642655097397794,0.000389665097947034,0.000231882609006465
"Lymphoid cells_T cells-0-iWAT",0.0927710987777467,0.0502206932066051,0.0463287097201206,0.0220196689068659,0.0164379782643488
"Podocytes-0-Kidney",0.000998263147948141,0.000677686746472712,0.000591248905820609,0.000458401091014938,0.000329313158883273
"Vascular endothelial cells-9-gWAT",0.00744244844786693,0.00403025847206253,0.00318280556216137,0.00026623293411892,0.00128451123633852
"Lymphoid cells_T cells-12-iWAT",0.0063455188699395,0.00434648108742329,0.00378385731474619,0.00155762585150965,0.00159146567680297
"Principal cells-6-Kidney",0.00113056694467869,0.000933279611235457,0.000880105291648549,0.000515986589141662,0.000393577529049073
"Connecting tubule cells-20-Kidney",0.000275712977860254,0.000212984131470107,0.000175822999402052,0.000129041176091022,8.93036121888227e-05
"Principal cells-3-Kidney",0.0013788000940793,0.00104134662058342,0.000772932335907172,0.000660561629733757,0.000442788825342132
"Principal cells-7-Kidney",0.000442113202827738,0.000385911387665295,0.000281831882662866,0.000211305880233847,0.000146622137457829
"Mirg positive cells-0-Muscle",0.000739471688421626,0.000606207328762837,0.000449398602278577,0.000314973078343766,0.000169986038967104
"Mural cells-19-gWAT",0.000842925428661082,0.000610917733528344,0.000392639283074687,0.000127306006771174,8.1615731636396e-05
"Descending thin limb of LOH cells-0-Kidney",0.00202986671451437,0.00162657058454414,0.001149737317262,0.000798354347669709,0.000595817440163263
"Principal cells-9-Kidney",0.000314393485702319,0.000244997529719447,0.00019050954206757,0.000137045910586241,0.000114396040710521
"Tenocytes-4-Muscle",0.00188870731283229,0.00128231414956909,0.000641014284022354,0.000563433951770828,0.000295568319718897
"Tenocytes-7-Muscle",0.000584552370272619,0.00038368303122239,0.000225930126103552,0.000232914012789463,0.000161763627370172
"Fibroblasts-22-Ileum",0.00089484003661963,0.000507706212942188,0.000360881709908009,0.000324095877527938,0.000249118191797461
"Goblet cells-9-Colon",0.0165671659357906,0.00637642688118594,0.00127618853605054,0.000699524601772469,0.000221429892809446
"Myeloid cells-5-Ileum",0.00784326659503837,0.00275369482028566,0.000709613794537802,0.00052205432819953,0.00052025985152716
"Rdh16 positive cells-0-gWAT",0.00654212952117454,0.00371128658525596,0.00150281831708343,0.00199811386788619,0.00183637542789517
"Adipocytes-6-Colon",0.000271214281759976,0.00016954146168399,3.94566571330284e-05,5.1501337550499e-05,7.54735526053319e-05
"Adipocytes-6-gWAT",0.00587083340288048,0.0043647119723951,0.000453651917867133,0.000668157109702588,0.000879389122710981
"Adipocytes-3-BAT",0.0111129294403732,0.00767066716035432,0.00100799448347648,0.000759742667898097,0.000529012418286296
"Adipocytes-11-gWAT",0.00849348970582002,0.00724669116904474,0.00356013535265504,0.00346251532722219,0.00348092889698148
"Brown adipocytes-5-Heart",0.000555659909734304,0.000329716025857414,0.000138468204005874,5.67523830583855e-05,0.000116296659646526
"Intestinal epithelial cells-19-Ileum",0.00791176460403372,0.00598042928293737,0.00245165825930504,0.00178591201219061,0.00298577776580392
"Skeletal muscle cells-7-gWAT",0.00138643745293922,0.00137433642691247,0.000646431214308522,9.9169894460937e-05,0.000475952996713577
"Gastric mucous cells-12-Stomach",0.0124400118451039,0.0115365961354363,0.00587774004199376,0.00258196865748743,0.00415909142308715
"Mesothelial cells-2-Ileum",0.000449912285194799,0.000525804285934841,0.00015558589480024,0.000130493300873387,0.000127968446432982
"Adipocytes-6-Muscle",0.00458768863621002,0.00520607930955381,0.000291474765988321,0.000569542575663868,0.000763325872981543
"Lymphoid cells_T cells-0-Colon",0.00801708233340644,0.00866738598772918,0.00306237339412217,0.00317742221355099,0.00295607700253575
"Adipocytes-1-gWAT",0.0948214024060031,0.0811121950137833,0.0144518544411059,0.00896248954780273,0.0348033503973066
"Adipocytes-2-Colon",0.000786838575819362,0.000717769606239114,9.89073955757252e-05,0.000222681364680728,0.000335522357285625
"Lymphoid cells_B cells-4-gWAT",0.00107053033841575,0.00254069868441526,0.0041459317505239,0.00707364167944494,0.00583608007994347
"Lymphoid cells_T cells-1-Heart",0.000893548385650694,0.00151287436800399,0.00400352096429719,0.00501334568443289,0.00421141886612559
"Distal convoluted tubule cells-11-Kidney",0.000757264676873082,0.000761271216197814,0.00295907775861452,0.00326817364185076,0.00335396145856438
"Lymphoid cells_T cells-17-Kidney",8.48948884942815e-05,7.56744362253137e-05,0.000133525605166055,0.000221647507354331,0.000198594164253823
"Lymphoid cells_T cells-8-gWAT",0.00255843952937577,0.0017992940073791,0.00395014942073433,0.00562482370967048,0.0054616698886487
"Myeloid cells_Mast cells-5-Ileum",2.07945060482719e-05,1.11292260240481e-05,6.38295673526061e-05,0.000100593591298836,9.40595445055903e-05
"Lymphoid cells_Plasma cells-7-gWAT",6.52670569387554e-05,3.73286395155652e-05,0.000168658103737021,0.000281815083208923,0.000381090983432488
"Lymphoid cells_T cells-23-Kidney",5.18571036043453e-05,4.73278266137287e-05,7.66605431347509e-05,0.000122719517710909,0.000132306383287105
"Lymphoid cells_T cells-0-gWAT",0.00202715969442113,0.00350738338150533,0.00908169584095608,0.0133411654049442,0.0161319397912628
"Lymphoid cells_T cells-6-Colon",0.00141186653948163,0.00187642991315118,0.00277574005380929,0.00344311609681112,0.00394595628508127
"Myeloid cells_Mast cells-3-Ileum",2.1119093652714e-05,4.2759490385138e-05,7.92562683987276e-05,0.000110074241879188,0.000122493228809954
"Lymphoid cells_Plasma cells-12-Lung",0.000181512968374689,0.000209117874842809,0.000388167612107306,0.000499304208979723,0.000643084115632452
"Lymphoid cells_Cycling B cells-18-Ileum",4.10061285389985e-05,0.00014633899156343,0.000555664554119569,0.000732679848110163,0.00100437837843205
"Myeloid cells_Mast cells-1-Ileum",2.19876170418408e-05,4.04285412661494e-05,8.39491183916657e-05,0.00015241514230836,0.000145502058669027
