"","Immunodeficient.03_months.Female.WT_1","Immunodeficient.03_months.Female.WT_2","Immunodeficient.03_months.Male.WT_1","Immunodeficient.03_months.Male.WT_2","Aging.06_months.Female.WT_1","Aging.06_months.Female.WT_2","Aging.06_months.Female.WT_3","Aging.06_months.Female.WT_4","Aging.06_months.Male.WT_1","Aging.06_months.Male.WT_2","Aging.06_months.Male.WT_3","Aging.06_months.Male.WT_4","Aging.12_months.Female.WT_1","Aging.12_months.Female.WT_2","Aging.12_months.Female.WT_3","Aging.12_months.Female.WT_4","Aging.12_months.Male.WT_1","Aging.12_months.Male.WT_2","Aging.12_months.Male.WT_3","Aging.12_months.Male.WT_4","Immunodeficient.16_months.Female.WT_1","Immunodeficient.16_months.Female.WT_2","Immunodeficient.16_months.Male.WT_1","Immunodeficient.16_months.Male.WT_2","Aging.23_months.Female.WT_1","Aging.23_months.Female.WT_2","Aging.23_months.Female.WT_3","Aging.23_months.Female.WT_4","Aging.23_months.Male.WT_1","Aging.23_months.Male.WT_2","Aging.23_months.Male.WT_3","Aging.23_months.Male.WT_4"
"Rdh16 positive cells-5-gWAT",0,0,0.002881738,0.004576226,3.99e-05,0.000124347,0.000105876,0,0.00215798,0.001620169,0.001328932,0.00127186,0,0,0,0,0.002331546,0.000383362,0.000378024,4.72e-05,0,0.000377691,0.000153817,0.002430815,0,0,0,0,0.00013132,0,0.000309954,0.000366531
"Enteric glia-2-Ileum",0.000578884,0.00025582,0.001034989,0.000875942,0.000317881,0.000217782,0.000529585,7.4e-05,0.001029245,0.000157386,0.000220975,0.000490677,0.000163832,0.000569224,0.000108519,0.000273199,9.48e-05,0.000280371,0.000560564,0.00010989,0.00037126,0.000631652,0.000654343,0.000278422,0,0.000343525,5.91e-05,0.0001234,0.000360211,0.000136173,0.000276033,0.000130554
"Principal cells-14-Kidney",0.000185354,0.00019709,0.000142931,0.000128692,0.000123278,8.64e-05,7.12e-05,0.000157787,3.7e-05,0.000125353,0.000181606,4.27e-05,0.000122814,0.00014171,7.48e-05,8.48e-05,2.48e-05,3.84e-05,0.000162353,7.06e-05,8.6e-05,0.000145222,1.04e-05,7.74e-05,4.36e-05,4.09e-05,4.9e-05,6.12e-05,2.98e-05,2.67e-05,2.36e-05,1.14e-05
"Tenocytes-1-Muscle",0.005713844,0.006148127,0.001948201,0.004632862,0.002326393,0.002773498,0.00290188,0.006475774,0.002957524,0.001005811,0.001801283,0.002495321,0.001964637,0.001137539,0.001846055,0.001875293,0.004097392,0.00292661,0.001331558,0.002307033,0.002935682,0.002187278,0.002433476,0.001660694,0.000835522,0.001418228,0.001276638,0.001337137,0.000482684,0.00091529,0.000696304,0.000743531
"Adipocytes-4-Colon",0.000208024,0.000172004,0.000413893,0.000540054,0.00021579,0.000172259,0.000136295,0.000206882,6.85e-05,0.000278901,0.000795462,0.000516916,3.63e-05,3.42e-05,0.000113711,4.04e-05,2.76e-05,0,0,0,0.000121974,0.000224373,0,0,0.000104011,0.000101541,2.78e-05,2.27e-05,2.98e-05,3.14e-05,0.000110084,0.000322806
"Adipocytes-6-Ileum",0.000133589,0.00025582,0.000133547,0.000150161,5.3e-05,0.000217782,4.81e-05,3.7e-05,0,3.15e-05,0,4.09e-05,0,0,0,4.55e-05,0,0,0,0,2.48e-05,3.16e-05,8.18e-05,0,0,8.59e-05,0,0,0,0,3.45e-05,0
"Adipocytes-2-Ileum",8.91e-05,0.00051164,0.000767895,0.000300323,0.000900662,0.000517232,0.000288864,0.000221893,0.000141965,3.15e-05,0,8.18e-05,0,6.32e-05,0.000162778,4.55e-05,0,0,9.34e-05,0,7.43e-05,0.000757983,0.000163586,0,0.000205659,0.000229016,5.91e-05,0.00015425,2.77e-05,0,0.000138017,0.000130554
"Adipocytes-5-Ileum",0.000133589,0.000279076,0.000200321,0.000175188,0.00010596,0.000163336,4.81e-05,3.7e-05,3.55e-05,6.3e-05,0,4.09e-05,0,6.32e-05,0,0,0,2.8e-05,0,3.66e-05,0.000123753,0.000221078,0,0,8.81e-05,2.86e-05,0,3.08e-05,2.77e-05,0,0,0
"Lymphoid cells_T cells-19-Colon",0.00371471,5.73e-05,3.45e-05,3e-05,0.000154135,6.89e-05,9.09e-05,0.000344804,0.000102708,6.97e-05,0.000103756,2.58e-05,7.26e-05,3.42e-05,8.53e-05,0.000161616,5.51e-05,2.4e-05,2.69e-05,0.000114413,0,3.21e-05,7.02e-05,3.75e-05,0,0,2.78e-05,4.55e-05,2.98e-05,3.14e-05,3.67e-05,2.69e-05
"Adipocytes-5-Heart",0,0.000199183,0.002304282,0.001830865,4.35e-05,3.18e-05,0.000385865,2.05e-05,6.21e-05,1.89e-05,6.28e-05,9.06e-05,1.77e-05,0,0,0,3.75e-05,1.71e-05,9.67e-05,0.000205985,0,0,0.000273331,5.54e-05,3.82e-05,0,0,5.36e-05,1.8e-05,0,2.34e-05,1.99e-05
"Brown adipocytes-2-BAT",0.003056769,0.066185359,0.42391168,0.210420947,0.00591428,0.037733368,0.172006353,0.035107182,0.002357306,0.001637795,0.004586985,0.001411736,0.001691787,0.025028016,0.001393542,0.024371149,0.009190417,0.002709538,0.005108066,0.008831459,0.000252517,0.005332918,0.055968861,0.007750016,0.005890809,0.003328931,0.001728175,0.008666304,0.00115734,0.000797263,0.002199027,0.01526242
"Adipocytes-0-Ileum",0.000400766,0.006093165,0.000200321,0.000200215,0.000953642,0.00029945,4.81e-05,7.4e-05,0,0,0,0.000122669,0,0,0,4.55e-05,0,0,0,0,0.000148504,3.16e-05,0,0,0.000235038,5.73e-05,5.91e-05,0,0,0,0.000103513,0
"Myeloid cells-8-Muscle",0.000694927,0.000857878,0.002750401,0.001903916,0.000232639,0.000154083,0.000665014,0.000624171,0.000305951,0.00033527,0.000288205,0.001091703,0.00033873,0.000206825,0,0.000375059,0.000551572,5.63e-05,0.00035041,6.59e-05,0.000427008,5.91e-05,0.000105803,8.74e-05,0.000477441,7.46e-05,0.000294609,8.91e-05,0,0.000228822,0.000482057,4.96e-05
"Erythroblasts-2-Muscle",0.001467068,0.002716614,0,0.000571175,0,0,0,0.001170321,0,0,0.000144103,0.000779788,0.00033873,0.000206825,0,0,0.001339532,0.000168843,0,0,0.00053376,0,0,0,0.00023872,0,0,0,6.03e-05,0,0,0
"Adipocytes-7-Colon",2.97e-05,2.87e-05,0,0,6.17e-05,0,0,0,0,0,3.46e-05,0,0,0,0,4.04e-05,0,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroblasts-4-Muscle",0.001775925,0.001715756,0.0001146,6.35e-05,0,0,0.000120912,0.000624171,0,0,7.21e-05,0.000571844,0.000474223,0.000620476,0,0,0.000630368,0.000281405,0,0,0.001014145,0,0,0,0,0,0,0,0.000241342,0,0,0
"Adipocytes-3-Ileum",8.91e-05,0.000627922,0.000567575,0.000575619,0.000344371,0.000435564,0.000144432,7.4e-05,3.55e-05,0,8.84e-05,0.000163559,0,0.000252988,0,9.11e-05,2.37e-05,2.8e-05,0,3.66e-05,0.000247506,0.000947478,0.000163586,0,2.94e-05,0.000114508,0,3.08e-05,2.77e-05,0.000136173,6.9e-05,4.35e-05
"Lymphoid cells-9-Muscle",0.001698711,0.003217043,0.0004584,0.000634639,0,0,0.000302279,0.000780214,5.1e-05,0,0,0.000727802,0.00033873,0.000103413,0,0.000187529,0.001260736,0.000112562,0,0,0.001601281,0.000177347,0,0,0,0,0,0,0.000422348,4.58e-05,0,4.96e-05
"Adipocytes-5-iWAT",0.001826225,0.008642635,0.127827661,0.144632811,0.010092146,0.005026116,0.006024096,0.00235534,0.025881511,0.012585812,0.008116386,0.019809341,0.001303066,0.003690616,0.000543774,0.001877934,0.021383989,0.016666667,0.00253911,0.009449789,0.003151261,NA,0.042350746,0.010990172,0.000658379,0.000306131,0.000199111,0.00028252,0.009266123,0.009889008,0.010089323,0.010194268
"Type II myonuclei-7-Muscle",0.000231642,0.000428939,0.156314463,0.174715999,0.005757822,0.003389831,0.024907805,0.003120855,0.002090663,0.002235136,0.005620001,0.002807236,0.001761398,0.00196484,0.001444739,0.000468823,0.002994248,0.008104457,0.015698367,0.003361677,0.00053376,0.002009931,0.05464741,0.032602045,0.002506565,0.000447861,0.000196406,0.000445712,0.001689393,0.001006819,0.001124799,0.002181025
"Lymphoid cells_T cells-0-Lung",0.023482254,0.037970309,0.022458717,0.008511688,0.022518513,0.019100382,0.017038038,0.025540626,0.027618915,0.021813432,0.019877046,0.035570769,0.010758289,0.014682578,0.014282957,0.008207833,0.03385337,0.018444891,0.008221825,0.011572882,0.008916971,0.01414047,0.012851812,0.009645154,0.005964149,0.001995171,0.007511951,0.003082388,0.002717741,0.010406765,0.015525567,0.000271641
"Neural cells-1-gWAT",0.000258933,0.000588235,3.69e-05,0.00015128,0.000279118,0.000580287,0.000423504,0.000449573,0.00012215,7.9e-05,8.57e-05,7.95e-05,7.85e-05,0.000160244,0.000557591,0.000114377,0.000186524,4.79e-05,0,0,9.03e-05,0.000251794,7.69e-05,0,0,5.61e-05,0,6.93e-05,4.38e-05,0,0,0
