"","03_months-Prkdc","03_months-Rag","03_months-WT","06_months-WT","12_months-WT","16_months-Prkdc","16_months-Rag","16_months-WT","23_months-WT","cell_type_id","pval_06_23","qval_06_23","pval_03_16","qval_03_16","qval_06_23_corrected","qval_03_16_corrected","LFC_23_over_06","LFC_16_over_03","LFC_16_over_03_Rag","LFC_16_over_03_Prkdc","LFC_Rag_over_WT_03","LFC_Rag_over_WT_16","LFC_Prkdc_over_WT_03","LFC_Prkdc_over_WT_16","pval_wt_rag_3m","pval_wt_Prkdc_3m","pval_wt_rag_16m","pval_wt_Prkdc_16m","pval_rag_3m_16m","pval_Prkdc_3m_16m","qval_wt_rag_3m","qval_wt_Prkdc_3m","qval_wt_rag_16m","qval_wt_Prkdc_16m","qval_rag_3m_16m","qval_Prkdc_3m_16m","subcluster","organ_name","main_cell_type","organ_celltype","sig_6v23","plot_sig_6v23","adj_LFC_6v23","sig_3v16","plot_sig_3v16","adj_LFC_3v16","sig_3v16_6v23","plot_sig_3v16_6v23"
"Hepatocytes-16-Liver",0.000432073935435054,0.000127618763543914,9.52960242068658e-05,4.14385320946041e-05,0.000235771218742841,0.00068396870635703,0.00308493488521111,0.000288508302929456,0.0391285906831725,"Hepatocytes-16-Liver",0,0,6.97291857894259e-09,2.36838786215809e-08,0,3.2236402146466e-08,9.84866954783335,1.58805658488765,4.58453458998518,0.661424731887074,0.417552985962577,3.41403099106011,2.16906520681002,1.24243335380945,0.932018186030333,0.983794270703396,4.53214824643427e-21,1.91502575145071e-15,8.19768486114359e-152,0.075560708558464,0.974247472059787,1,3.32899498998176e-20,1.21581867475824e-14,4.88283920092844e-150,0.142919677388873,"Hepatocytes-16","Liver","Hepatocytes","Liver_Hepatocytes","sig","sig_up",3,"sig","sig_up",1.58805658488765,"sig","sig_up"
"Hepatocytes-4-Liver",0.0177359260407736,0.0775280222889643,0.0706936339972474,0.13460049845539,0.0609297982198157,0.00885720161103558,0.00296835373454452,0.022360973508907,0.0224620326579982,"Hepatocytes-4-Liver",0,0,7.19286890248955e-149,1.41699517379044e-147,0,3.52900130528393e-147,-2.58306985151138,-1.660553197108,-4.70651559663123,-1.00167026187327,0.133135758426052,-2.91282664109718,-1.99484471286614,-1.33596177763141,0.0393863144297662,0,3.31803467947948e-112,8.02149315489225e-09,0,1.89319456988438e-214,0.0797956500135522,0,1.01587678597895e-110,3.64471727814522e-08,0,1.47669176450982e-212,"Hepatocytes-4","Liver","Hepatocytes","Liver_Hepatocytes","sig","sig_down",-2.58306985151138,"sig","sig_down",-1.660553197108,"sig","sig_down"
"Hepatocytes-5-Liver",0.105424546364457,0.00776207074577876,0.0230944434307606,0.00567543148371166,0.0719643568624122,0.157888306665881,0.122596470830567,0.0944365254295866,0.0550620430733826,"Hepatocytes-5-Liver",0,0,0,0,0,0,3.27802818050962,2.0317519926699,3.9811579714375,0.582688967062671,-1.5729089059084,0.376497072859204,2.19054434715567,0.741481321548441,0,8.4266177086028e-127,8.75660838175035e-87,0,1.04796283144046e-85,3.16176262253814e-295,0,3.24771760157444e-125,1.99212840684821e-85,0,3.46780427858478e-84,2.72577219774603e-293,"Hepatocytes-5","Liver","Hepatocytes","Liver_Hepatocytes","sig","sig_up",3,"sig","sig_up",2.0317519926699,"sig","sig_up"
"Lymphoid cells_B cells-10-Liver",8.42204554642231e-06,3.63472470595077e-06,0.000175998494871347,0.000330259409605792,0.000217632309176031,6.28377529219555e-06,0,0.000590484564082075,0.00107505288954704,"Lymphoid cells_B cells-10-Liver",1.24078338885746e-37,3.81928636882686e-37,8.39330987299022e-16,3.84530708134668e-15,9.79894326210367e-37,5.9680690672983e-15,1.69971564936903,1.74060342695315,-2.21248364798677,-0.37135389085106,-5.25510963401219,-9.2081967089521,-4.23155297594952,-6.34351029375373,6.59235658671609e-09,1.19476344473499e-05,6.96047515631896e-07,1.18015402009112e-07,0.999999999474558,0.561673694244574,3.49694837686701e-08,4.79662382959784e-05,2.52643259822561e-06,4.93765590015133e-07,0.999999999474558,0.716527656676489,"Lymphoid cells_B cells-10","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",1.69971564936903,"sig","sig_up",1.74060342695315,"sig","sig_up"
"Lymphoid cells_B cells-11-Liver",0,0,0.000140106454716418,0.00014030043364806,0.000146554223365472,0,0,0.000313887961425044,0.00109486234032192,"Lymphoid cells_B cells-11-Liver",1.44099422901388e-68,6.45172416172122e-68,2.17196734817039e-06,7.01438635392732e-06,1.83038910966973e-67,8.0652524518153e-06,2.95522878329303,1.15805461892478,0,0,-7.140640173276,-8.29869479220078,-7.140640173276,-8.29869479220078,2.61893751053332e-07,4.33045257690306e-06,0.000163832200602008,9.33421800692754e-06,0.999999999474558,0.999999999474558,1.20670032130902e-06,1.80032520836731e-05,0.00047162942809506,3.29159291611352e-05,0.999999999474558,1,"Lymphoid cells_B cells-11","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",2.95522878329303,"sig","sig_up",1.15805461892478,"sig","sig_up"
"Lymphoid cells_B cells-12-Liver",0,5.07469957778499e-06,0.000162130297405002,0.000233258595871331,0.000254872182959313,6.91161427663045e-06,0,0.00033270404461522,0.000605307861717191,"Lymphoid cells_B cells-12-Liver",3.96614121588225e-21,9.30154547058099e-21,3.29710344531293e-06,1.04762803020427e-05,2.1681203721919e-20,1.19714440544434e-05,1.37194854230402,1.03254442087712,-2.60281306248684,2.98397209056144,-4.74706787902916,-8.38242536239312,-7.349880941516,-5.39845327183168,6.74199958065367e-06,5.89854492788086e-07,5.73334665972936e-05,3.18387901244244e-05,0.0449796775564534,0.268212145582403,2.73690094500885e-05,2.69883145024269e-06,0.000174558026554585,0.000106759341297456,0.0998329428692016,0.40250251439668,"Lymphoid cells_B cells-12","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",1.37194854230402,"sig","sig_up",1.03254442087712,"sig","sig_up"
"Lymphoid cells_B cells-14-Liver",0,0,0,1.48222469661337e-05,5.98368565574924e-05,0,0,6.58556226379905e-05,0.00134437791286079,"Lymphoid cells_B cells-14-Liver",6.5340771084078e-83,3.21803297589084e-82,2.67465380112019e-05,7.98343634576785e-05,9.75142686330822e-82,8.72653048162657e-05,6.40991317251522,6.06297699269039,0,0,0,-6.06297699269039,0,-6.06297699269039,0.999999998825075,0.999999999089907,0.595369858971478,0.523902037783659,0.999999999474558,0.999999999474558,1,1,0.699079447308445,0.656581130749529,0.999999999474558,1,"Lymphoid cells_B cells-14","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",3,"sig","sig_up",3,"sig","sig_up"
"Lymphoid cells_B cells-15-Liver",0,0,6.92503405682835e-05,0.000138794188313547,7.6286854415678e-05,0,0,0.000205790277686597,0.000700883959889647,"Lymphoid cells_B cells-15-Liver",6.61625224289897e-51,2.5556895918649e-50,2.88872024771276e-05,8.49369983282707e-05,6.64163428475152e-50,9.40931698943783e-05,2.32792814976846,1.55759123392359,0,0,-6.13443331431321,-7.69202454823679,-6.13443331431321,-7.69202454823679,0.000218684121773283,0.00125638143557602,0.000842304558651156,8.68769757929854e-05,0.999999999474558,0.999999999474558,0.000714979224480315,0.0038502390860122,0.00217789244999304,0.000276319390968758,0.999999999474558,1,"Lymphoid cells_B cells-15","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",2.32792814976846,"sig","sig_up",1.55759123392359,"sig","sig_up"
"Lymphoid cells_B cells-16-Liver",0,0,8.71964031681551e-05,0.000154687051067457,8.71621476024908e-05,0,0,0.000185996548569345,0.000688303748169121,"Lymphoid cells_B cells-16-Liver",6.75467784559967e-39,2.21061377947763e-38,0.00123495623294965,0.00307957440368457,5.47770879007824e-38,0.00326191333400227,2.14649090378082,1.0842199162578,0,0,-6.46264791578041,-7.54686783203821,-6.46264791578041,-7.54686783203821,6.5421615398075e-05,0.000309195512957949,0.00026963811198179,2.33393616216506e-05,0.999999999474558,0.999999999474558,0.000233211329754183,0.00104966269476709,0.000761732616105962,7.9728622181989e-05,0.999999999474558,1,"Lymphoid cells_B cells-16","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",2.14649090378082,"sig","sig_up",1.0842199162578,"sig","sig_up"
"Lymphoid cells_B cells-17-Liver",0,4.12909193010273e-06,6.3314773990542e-05,0.000136579956863195,0.000130779627685657,0,0,0.000161915680269552,0.000720251160687572,"Lymphoid cells_B cells-17-Liver",2.65706428498207e-40,8.87189261256726e-40,8.54103109962419e-05,0.000230490839263831,2.21893134437333e-39,0.00026190271145332,2.39023142703514,1.34090337903151,-2.35870342936061,0,-3.64837484809708,-7.3479816564892,-6.00707827745769,-7.3479816564892,0.00392248632382992,0.00281551366755686,0.00451415197751519,0.000842412001581025,0.637690585041299,0.999999999474558,0.0104354028704157,0.00808380611298533,0.0103705202512902,0.0023729507456401,0.806903961604981,1,"Lymphoid cells_B cells-17","Liver","Lymphoid cells_B cells","Liver_Lymphoid cells_B cells","sig","sig_up",2.39023142703514,"sig","sig_up",1.34090337903151,"sig","sig_up"
