"","gene_id","gene_type","gene_short_name"
"1","ENSMUSG00000102693.2","TEC","4933401J01Rik"
"2","ENSMUSG00000064842.3","snRNA","Gm26206"
"3","ENSMUSG00000051951.6","protein_coding","Xkr4"
"4","ENSMUSG00000102851.2","processed_pseudogene","Gm18956"
"5","ENSMUSG00000103377.2","TEC","Gm37180"
"6","ENSMUSG00000104017.2","TEC","Gm37363"
"7","ENSMUSG00000103025.2","TEC","Gm37686"
"8","ENSMUSG00000089699.2","lncRNA","Gm1992"
"9","ENSMUSG00000103201.2","TEC","Gm37329"
"10","ENSMUSG00000103147.2","processed_pseudogene","Gm7341"
"11","ENSMUSG00000103161.2","TEC","Gm38148"
"12","ENSMUSG00000102331.2","lncRNA","Gm19938"
"13","ENSMUSG00000102348.2","TEC","Gm10568"
"14","ENSMUSG00000102592.2","TEC","Gm38385"
"15","ENSMUSG00000088333.4","snRNA","Gm27396"
"16","ENSMUSG00000102343.2","lncRNA","Gm37381"
"17","ENSMUSG00000025900.14","protein_coding","Rp1"
"18","ENSMUSG00000102948.2","processed_pseudogene","Gm6101"
"19","ENSMUSG00000104123.2","TEC","Gm37483"
"20","ENSMUSG00000025902.14","protein_coding","Sox17"
"21","ENSMUSG00000104238.2","lncRNA","Gm37587"
"22","ENSMUSG00000102269.2","processed_pseudogene","Gm7357"
"23","ENSMUSG00000118917.1","snRNA","U6"
"24","ENSMUSG00000103003.2","processed_pseudogene","Gm38076"
"25","ENSMUSG00000104328.2","lncRNA","Gm37323"
"26","ENSMUSG00000102735.2","processed_pseudogene","Gm7369"
"27","ENSMUSG00000098104.2","processed_pseudogene","Gm6085"
"28","ENSMUSG00000102175.2","processed_pseudogene","Gm6119"
"29","ENSMUSG00002075947.1","snRNA","U6"
"30","ENSMUSG00000103265.2","processed_pseudogene","Gm2053"
"31","ENSMUSG00000103922.2","processed_pseudogene","Gm6123"
"32","ENSMUSG00000033845.14","protein_coding","Mrpl15"
"33","ENSMUSG00000102275.2","TEC","Gm37144"
"34","ENSMUSG00000025903.15","protein_coding","Lypla1"
"35","ENSMUSG00000104217.2","protein_coding","Gm37988"
"36","ENSMUSG00000033813.16","protein_coding","Tcea1"
"37","ENSMUSG00000062588.5","processed_pseudogene","Gm6104"
"38","ENSMUSG00000103280.2","TEC","Gm37277"
"39","ENSMUSG00000002459.18","protein_coding","Rgs20"
"40","ENSMUSG00000091305.2","processed_pseudogene","Gm17100"
"41","ENSMUSG00000102653.2","TEC","Gm37079"
"42","ENSMUSG00000085623.2","lncRNA","Gm16041"
"43","ENSMUSG00000091665.2","processed_pseudogene","Gm17101"
"44","ENSMUSG00000033793.13","protein_coding","Atp6v1h"
"45","ENSMUSG00000104352.2","processed_pseudogene","Gm7182"
"46","ENSMUSG00000104046.2","TEC","Gm37567"
"47","ENSMUSG00000102907.2","TEC","Gm38264"
"48","ENSMUSG00000025905.15","protein_coding","Oprk1"
"49","ENSMUSG00000103936.2","processed_pseudogene","Gm36965"
"50","ENSMUSG00002076544.1","miRNA","ENSMUSG00002076544"
"51","ENSMUSG00000103519.2","TEC","Gm37429"
"52","ENSMUSG00000033774.5","protein_coding","Npbwr1"
"53","ENSMUSG00000103090.2","processed_pseudogene","Gm19214"
"54","ENSMUSG00000025907.15","protein_coding","Rb1cc1"
"55","ENSMUSG00000090031.3","lncRNA","4732440D04Rik"
"56","ENSMUSG00000087247.4","protein_coding","Alkal1"
"57","ENSMUSG00000103355.2","processed_pseudogene","Gm2147"
"58","ENSMUSG00000102706.2","processed_pseudogene","Gm7417"
"59","ENSMUSG00000103845.2","processed_pseudogene","Gm19026"
"60","ENSMUSG00000033740.18","protein_coding","St18"
"61","ENSMUSG00000103329.3","TEC","Gm42492"
"62","ENSMUSG00000104385.2","processed_pseudogene","Gm7449"
"63","ENSMUSG00000102135.2","processed_pseudogene","Gm37108"
